N,ARRAYavg,BSTavg,HASHavg
510,3.55098e-06,7.70588e-07,4.62745e-07
511,3.55382e-06,7.71037e-07,4.6184e-07
512,3.60742e-06,7.69531e-07,4.62891e-07
513,3.61793e-06,7.69981e-07,4.61988e-07
514,3.67704e-06,7.80156e-07,4.74708e-07
515,3.68155e-06,7.80583e-07,4.75728e-07
516,3.76744e-06,7.81008e-07,4.74806e-07
517,3.81431e-06,7.79497e-07,4.75822e-07
518,3.85907e-06,7.79923e-07,4.74903e-07
519,3.88439e-06,7.80347e-07,4.75915e-07
520,3.88846e-06,7.78846e-07,4.75e-07
521,3.89251e-06,7.79271e-07,4.74088e-07
522,3.89655e-06,7.79693e-07,4.75096e-07
523,3.90057e-06,7.78203e-07,4.74187e-07
524,3.90458e-06,7.78626e-07,4.75191e-07
525,3.90857e-06,7.79048e-07,4.74286e-07
526,3.91445e-06,7.77567e-07,4.75285e-07
527,3.91841e-06,7.77989e-07,4.74383e-07
528,3.92235e-06,7.78409e-07,4.75379e-07
529,3.92628e-06,7.76938e-07,4.7448e-07
530,3.93019e-06,7.77358e-07,4.73585e-07
531,3.93409e-06,7.75895e-07,4.74576e-07
532,3.93797e-06,7.76316e-07,4.73684e-07
533,3.94371e-06,7.76735e-07,4.74672e-07
534,3.94757e-06,7.75281e-07,4.73783e-07
535,3.9514e-06,7.75701e-07,4.74766e-07
536,3.95522e-06,7.76119e-07,4.73881e-07
537,3.95903e-06,7.74674e-07,4.7486e-07
538,3.96283e-06,7.75093e-07,4.73978e-07
539,3.9666e-06,7.7551e-07,4.73098e-07
540,3.97222e-06,7.74074e-07,4.74074e-07
